project,date,production,production_MA
Greater Ekofisk Area,01/01/2023,0.59134,0.6026183333333334
Greater Ekofisk Area,02/01/2023,0.52786,0.58646
Greater Ekofisk Area,03/01/2023,0.57338,0.5815083333333333
Greater Ekofisk Area,04/01/2023,0.54015,0.5681833333333334
Greater Ekofisk Area,05/01/2023,0.5244599999999999,0.55845
Greater Ekofisk Area,06/01/2023,0.5135799999999999,0.5451283333333333
Greater Ekofisk Area,07/01/2023,0.53762,0.536175
Greater Ekofisk Area,08/01/2023,0.49319,0.5303966666666666
Greater Ekofisk Area,09/01/2023,0.49683,0.5176383333333333
Greater Ekofisk Area,10/01/2023,0.5326,0.51638
Greater Ekofisk Area,11/01/2023,0.49478,0.5114333333333333
Greater Ekofisk Area,12/01/2023,0.49935,0.5090616666666666
Greater Ekofisk Area,01/01/2024,0.47829,0.4991733333333333
Greater Ekofisk Area,02/01/2024,0.46887999999999996,0.4951216666666667
Greater Ekofisk Area,03/01/2024,0.48523,0.49318833333333334
Greater Ekofisk Area,04/01/2024,0.46851,0.48250666666666664
Greater Ekofisk Area,05/01/2024,0.50694,0.4845333333333333
Greater Ekofisk Area,06/01/2024,0.45272,0.4767616666666666
Greater Ekofisk Area,07/01/2024,0.52108,0.4838933333333333
Greater Ekofisk Area,08/01/2024,0.49212999999999996,0.4877683333333333
Greater Ekofisk Area,09/01/2024,0.48651999999999995,0.48798333333333327
Greater Ekofisk Area,10/01/2024,0.50814,0.49458833333333335
Greater Ekofisk Area,11/01/2024,0.51018,0.49512833333333334
Greater Ekofisk Area,12/01/2024,0.51275,0.5051333333333333
Greater Ekofisk Area,01/01/2025,0.48539,0.499185
